,vm_pu_bus1,vm_pu_bus2,vm_pu_bus3,vm_pu_bus4,vm_pu_bus5,vm_pu_bus6,vm_pu_bus7,vm_pu_bus8,vm_pu_bus9,va_degree_bus1,va_degree_bus2,va_degree_bus3,va_degree_bus4,va_degree_bus5,va_degree_bus6,va_degree_bus7,va_degree_bus8,va_degree_bus9,Cluster
60,1,0.9047542114669478,1.0,0.940940101131532,0.928526654620641,0.9457402994470754,0.9089149598911488,0.9047032267913596,0.9004493744106528,0,-9.04858503065552,-7.86488676911501,-5.173403656933274,-7.728154991071452,-8.44365429860505,-9.806689280155084,-9.04705719455878,-8.274142397951806,2
61,1,0.9058891330503586,1.0,0.9420370633563515,0.9299134645446692,0.9464596097205409,0.9096898575225686,0.9058380844197117,0.9019238947232345,0,-8.760496902343334,-7.500316821519669,-4.991794439684188,-7.397865766478332,-8.099151078482574,-9.469643160040711,-8.758969066246598,-8.03603725888633,2
62,1,0.908152968371733,0.9999999999999999,0.9433424405396815,0.9314591835913963,0.9477786438236406,0.9120887674303322,0.9081017921695222,0.9040374163066363,0,-8.545821059676026,-7.233437371283232,-4.883015081011316,-7.227116425395818,-7.868981446727962,-9.216612371014527,-8.544293223579283,-7.859847046897279,2
63,1,0.9058317069059848,0.9999999999999999,0.9420130216920335,0.9305653322750079,0.9467879456018408,0.9100166435914442,0.905780661511414,0.9014436525554167,0,-8.89330645961797,-7.529662221088142,-5.087148554185723,-7.456827071744623,-8.137644913352645,-9.49726686588343,-8.89177862352123,-8.274390867490366,2
64,1,0.9078284322591812,0.9999999999999998,0.9429130177388984,0.9311689431863078,0.9477394632767747,0.9122395873827791,0.9077772743452176,0.9032206601125784,0,-8.627791991862347,-7.310200248158624,-4.960347449190059,-7.340933279250229,-7.944655524544429,-9.251723339221869,-8.626264155765604,-7.988416945160357,4
65,1,0.9051432709320087,1.0000000000000002,0.9413162297419928,0.9295685578827629,0.9463098335818185,0.9095596142484086,0.9050922643321562,0.9005432773546863,0,-9.000827449103623,-7.740135946122885,-5.173378155114584,-7.674045453255635,-8.33479465277102,-9.65918963799274,-8.999299613006883,-8.326659939544212,2
66,1,0.9047178777811477,1.0,0.9412437318984318,0.9288586655873695,0.9456497333917754,0.9083180700394432,0.904666895153034,0.9009634882160477,0,-9.015671506119046,-7.798520579817306,-5.144627936101023,-7.645727943508692,-8.374759178315315,-9.750008032878563,-9.014143670022303,-8.266135287404296,2
67,1,0.9056973560559295,0.9999999999999999,0.9417531043866877,0.9302574391812568,0.9466852452806058,0.9100356598111664,0.9056463182322925,0.9011753980843205,0,-9.061691558899604,-7.722464490554673,-5.1732532262938715,-7.610971095947071,-8.327586394102186,-9.720406457080713,-9.060163722802859,-8.387287349119267,2
68,1,0.9061123649412394,1.0,0.9423137424445898,0.9306978697941731,0.9468591243565442,0.9100912781422572,0.9060613037310372,0.9019632362246474,0,-8.729411437125853,-7.465727337391755,-4.990522646261069,-7.408026649527564,-8.075692360597168,-9.424027509995497,-8.727883601029113,-8.019326674471591,2
69,1,0.9051376750423095,0.9999999999999999,0.9411527733290429,0.9292496352936269,0.946176079093366,0.9095141089306821,0.9050866687577961,0.900589526553767,0,-9.200707955748316,-7.910764713680709,-5.259382758013278,-7.773564342043301,-8.501693295419722,-9.890677390096089,-9.199180119651569,-8.494687824148784,2
