Index,vm_pu_bus1,vm_pu_bus2,vm_pu_bus3,vm_pu_bus4,vm_pu_bus5,vm_pu_bus6,vm_pu_bus7,vm_pu_bus8,vm_pu_bus9,va_degree_bus1,va_degree_bus2,va_degree_bus3,va_degree_bus4,va_degree_bus5,va_degree_bus6,va_degree_bus7,va_degree_bus8,va_degree_bus9,Cluster
12,0,0.013196357,0,0.028446969,0.122259989,0.017585973,0.019181605,0.018384134,0.031008192,0,0.028357246,0.030512938,0.044326455,0.04205063,0.032253202,0.037310072,0.035541385,0.048028888,3
13,0,0.063483215,0,0.11342922,0.202391272,0.103809365,0.110590227,0.088439859,0.109678714,0,0.06667428,0.084785991,0.101978896,0.108696671,0.084026286,0.091942337,0.08356581,0.099768698,3
14,0,0.008303234,1,0.015614707,0.125796222,0.022274035,0.02457732,0.011567418,0.009228216,0,0.021856376,0.026392948,0.030642433,0.031689234,0.027505235,0.034182127,0.027393559,0.030860459,3
15,0,0.037751366,0.25,0.063737417,0.158973695,0.062576626,0.070479462,0.052592256,0.062791344,0,0.042047481,0.052770049,0.060903566,0.064086233,0.052779745,0.061100266,0.052699959,0.060650525,3
16,0,0.016818492,0.5,0.032078651,0.14062686,0.038215049,0.041469793,0.02343021,0.021017719,0,0.039107842,0.050000604,0.059252302,0.066545484,0.05159051,0.058856186,0.049015579,0.054041522,3
17,0,0.043376278,0.25,0.075270124,0.18022428,0.080279917,0.085691667,0.060428444,0.066872447,0,0.044890522,0.057271222,0.064580365,0.067321068,0.056307477,0.064764743,0.056263268,0.065072595,3
18,0,0.009890587,0,0.01860745,0.123403749,0.019287006,0.021406071,0.013778794,0.01792602,0,0.015407449,0.016660948,0.022780364,0.019822252,0.017315295,0.021533393,0.019310833,0.026903431,3
19,0,0.046381355,0.5,0.095407248,0.188625158,0.074227788,0.068865143,0.064614882,0.093213579,0,0.051265911,0.061977624,0.077386156,0.078251311,0.061780119,0.068999775,0.064253823,0.080221198,3
20,0,0.018588344,0,0.034789982,0.12891981,0.02731818,0.031313947,0.025895829,0.037133942,0,0.029361199,0.03392087,0.045417515,0.045427977,0.035188152,0.040320385,0.036799683,0.047219056,3
21,0,0.002280181,1,0.01063166,0.127597321,0.016444435,0.013569704,0.00317657,0,0,0.015840748,0.021282456,0.027602393,0.031822369,0.022465047,0.024199991,0.019853906,0.0246938,3
